"Name","CompanyName"
"AnyPackage.PSResourceGet","ThomasNieto"
"AnyPackage.Scoop","ThomasNieto"
"AnyPackage.WinGet","ThomasNieto,ethanbergstrom"
"AnyPackage.Wsl","ThomasNieto"
"AnyPackageDsc","ThomasNieto"
"Anypoint","yamamo"
"AOVPNTools","richardhicks"
"ApacheCouchDBCmdlets","CData"
"ApacheHBaseCmdlets","CData"
"ApacheHiveCmdlets","CData"
"ApacheImpalaCmdlets","CData"
"ApachePhoenixCmdlets","CData"
"ApexSQL_DevOps_toolkit","ApexSQL"
"APICmdlets","CData"
"APIfromGithub","AndreAHCT"
"APIManagementTemplate","lfalck,MLogdberg"
"APIsCmdlets","CData"
"apivoid","matthew-hale"
"APortal.PowerShell","iiunknown"
"AppDomainConfig","beefarino"
"appdynamics","inammathe"
"AppianPS","Dejulia489"
"AppInsights","svengrav"
"ApplicationFactoryClient","jeremy.putman"
"ApplicationFactoryService","jeremy.putman"
"ApplicationFactoryServicePSU","jeremy.putman"
"ApplicationInsightsCustomEvents","rohitminni"
"ApplicationInsightsLogging","FabianS"
"AppList","aprykhus"
"AppLockerAdmin","Norlunn"
"AppLockerEx","iainbrighton"
"AppLockerFoundry","jhp"
"AppManiProgramManager","rguiamoy,wphubsch"
"AppVentiX","AppVentiX"
"appveyorartifacts","arthur.tagirov"
"AppVeyorBYOC","appveyor"
"AppVeyorTestPsGallery","appveyor"
"AppVForcelets","Andreas.Nick"
"AppvProvider","iainbrighton"
"AppxGet","cristian.toma"
"ApresentarHelloWorld","VAlves22t"
"APRSMessenger","rhymeswithmogul"
"APS","akotu"
"APSTroubleshoot","brenle"
"AptecoPSFramework","apteco_fvb"
"AptPackage","cschuchardt"
"AptTelemetry","anaptis"
"apvr-test","OCram85"
"AQtools","McMurdo"
"aquanjsw.PowerShell.Utility","aquanjsw"
"ARAH","Callidus2000,callidus2001"
"ArcAdminTools","mczerniawski"
"Arcane_Server","DarkCoderSc"
"Arcane.DevOps","tobiaslekman"
"ArcaneBooks","ArcaneCode"
"ArcGIS","arcgis-powershell"
"ArcGIS.Microsoft365","arcgis"
"ArcHci","dhwanishah,pathuang,rohitjaini"
"ArchitectureDecisionRecords","ajoberstar"
"ArchivematicaChecksum","danloveg"
"Archiver","zzzzbov"
"ArchivialPowerShell","kbabinec"
"Arcus.Scripting.ActiveDirectory","ArcusAzure"
"Arcus.Scripting.All","ArcusAzure"
"Arcus.Scripting.ApiManagement","ArcusAzure"
"Arcus.Scripting.AppService","ArcusAzure"
"Arcus.Scripting.ARM","ArcusAzure"
"Arcus.Scripting.DataFactory","ArcusAzure"
"Arcus.Scripting.DevOps","ArcusAzure"
"Arcus.Scripting.IntegrationAccount","ArcusAzure"
"Arcus.Scripting.KeyVault","ArcusAzure"
"Arcus.Scripting.LogicApps","ArcusAzure"
"Arcus.Scripting.Management","ArcusAzure"
"Arcus.Scripting.Security","ArcusAzure"
"Arcus.Scripting.Sql","ArcusAzure"
"Arcus.Scripting.Storage.All","ArcusAzure"
"Arcus.Scripting.Storage.Blob","ArcusAzure"
"Arcus.Scripting.Storage.FileShare","ArcusAzure"
"Arcus.Scripting.Storage.Table","ArcusAzure"
"Ardoq","kmhuglen"
"ARG-Kit","brianveldman"
"ArgParser","chadnpc"
"ArielAuxFn","FluffyBeaver"
"ArkanePsh","ArkaneSystems"
"Arma3PowerShell","CaiusAjiz"
"ArmaServer","ArwynFr"
"ARMDeploy","pkparsard"
"ARMHelper","Ba4bes"
"ARMLinker","Lars-Erik"
"Armor","tlindsay42"
"ARMTemplateComplexity","kilasuit"
"ArrayList","brianbunke"
"Arroyo.Password","Dhimas"
"ArtemisSigGenerator","Largehawiian"
"Artifactory","NicholasDille"
"ArtifactoryCli","chris-peterson"
"ARTools","psrdrgz"
"Arvan","iravanchi"
"ArwynFr.SemanticVersion","ArwynFr"
"ArxmlAutomation-Basic","Hansong"
"ArxmlAutomation-Basic-Validation","Hansong"
"ArxmlAutomation-Swc","Hansong"
"ArxmlAutomation-Swc-Advance","Hansong"
"ArxmlAutomation-Swc-Validation","Hansong"
"ArxmlAutomation-Utils","Hansong"
"asa.unittest","Fleid"
"AsanaCmdlets","CData"
"AsBuiltReport.Aruba.ClearPass","tpcarman"
"AsBuiltReport.Cisco.UcsManager","tpcarman"
"AsBuiltReport.Core","tpcarman"
"AsBuiltReport.DellEMC.VxRail","tpcarman"
"AsBuiltReport.Fortinet.FortiGate","tpcarman"
"AsBuiltReport.Microsoft.AD","tpcarman"
"AsBuiltReport.Microsoft.Azure","tpcarman"
"AsBuiltReport.Microsoft.DHCP","tpcarman"
"AsBuiltReport.Microsoft.Windows","tpcarman"
"AsBuiltReport.NetApp.ONTAP","tpcarman"
"AsBuiltReport.Nutanix.PrismElement","tpcarman"
"AsBuiltReport.PureStorage.FlashArray","tpcarman"
"AsBuiltReport.Rubrik.CDM","tpcarman"
"AsBuiltReport.Veeam.VB365","tpcarman"
"AsBuiltReport.Veeam.VBR","tpcarman"
"AsBuiltReport.VMware.AppVolumes","tpcarman"
"AsBuiltReport.VMware.ESXi","tpcarman"
"AsBuiltReport.VMware.Horizon","tpcarman"
